ID$,SHAPE$,LEFT$,TOP$,RIGHT$,BOTTOM$,廧強1,廧強2,廧強3,揹榖,FAX,棙梡帪娫,奒悢,掕媥擔,挀幵応,晘抧撪偺忬嫷偍傛傃巤愝擖岥,桿摫巤愝,埬撪愝旛,徃崀愝旛,僩僀儗,岞廜揹榖,偦偺懠偺愝旛,旛峫,僇僥僑儕乕
31447,1135.57376052964234.3040399148478,135.573760529642,34.3040399148478,135.573760529642,34.3040399148478,榓壧嶳導,嫶杮巗,崅栰岥挰暁尨1077,0736-43-0978,,8:30乣17:15,抧忋俀奒,搚丄擔丄廽擔丄12/29乣1/3,仢堦斒挀幵応丂桳傝丗俀俆戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,,仢梞幃戝曋強丂桳傝丗侾売強<br>仢庤偡傝晅曋強丂桳傝,,仢幵堉巕偺忢旛丂桳傝丗侾戜,,暥壔巤愝
31448,1135.5609837380534.3101778270902,135.56098373805,34.3101778270902,135.56098373805,34.3101778270902,榓壧嶳導,嫶杮巗,崅栰岥挰柤屆慮1212,0736-42-0065,,,抧忋俀奒,,,,,,,仢梞幃戝曋強丂桳傝丗俀売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,,,,暥壔巤愝
31449,1135.19100627984434.1666983767585,135.191006279844,34.1666983767585,135.191006279844,34.1666983767585,榓壧嶳導,榓壧嶳巗,栄尒200,073-444-7565,073-444-9272,9:00乣17:00,抧忋俁奒,寧梛,仢堦斒挀幵応丂桳傝丗俈侽侽戜<br>仢忈奞幰梡挀幵応丂桳傝丗俈戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,,仢堦斒埬撪丂桳傝,,仢忈奞幰乮幵堉巕乯梡曋婍丂桳傝丗侾売強乮侾奒乯<br>仢庤偡傝晅曋婍丂桳傝丗俁売強,仢幵堉巕梡揹榖丂桳傝丗侾売強,仢幵堉巕偺忢旛丂桳傝丗侾戜<br>仢幵堉巕梡娤棗惾丂桳傝丗侾俇惾,仢夘岇偑昁梫側応崌丄怑堳偑懳墳偟傑偡丅,暥壔巤愝
31450,1135.19100627984434.1666983767585,135.191006279844,34.1666983767585,135.191006279844,34.1666983767585,榓壧嶳導,榓壧嶳巗,栄尒200,073-444-7565,073-444-9272,9:00乣17:00,抧忋俀奒,寧梛,仢堦斒挀幵応丂桳傝丗俈侽侽戜<br>仢忈奞幰梡挀幵応丂桳傝丗俈戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,仢桿摫僽儘僢僋丂桳傝,仢堦斒埬撪丂桳傝,,仢忈奞幰乮幵堉巕乯梡曋婍丂桳傝丗俀売強乮俀奒乯,,仢幵堉巕梡娤棗惾丂桳傝丗侾俀惾,仢夘岇偑昁梫側応崌丄怑堳偑懳墳偟傑偡丅,暥壔巤愝
31451,1135.19100627984434.1666983767585,135.191006279844,34.1666983767585,135.191006279844,34.1666983767585,榓壧嶳導,榓壧嶳巗,栄尒200,073-444-7565,073-444-9272,9:00乣17:00,,寧梛,仢堦斒挀幵応丂桳傝丗俈侽侽戜<br>仢忈奞幰梡挀幵応丂桳傝丗俈戜,,,,,,,,仢夘岇偑昁梫側応崌丄怑堳偑懳墳偟傑偡丅,暥壔巤愝
31452,1135.19100627984434.1666983767585,135.191006279844,34.1666983767585,135.191006279844,34.1666983767585,榓壧嶳導,榓壧嶳巗,栄尒200,,,,抧忋侾奒,,仢堦斒挀幵応丂桳傝丗俈侽侽戜<br>仢忈奞幰梡挀幵応丂桳傝丗俈戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,仢堦斒埬撪丂桳傝,,仢忈奞幰乮幵堉巕乯梡曋婍丂桳傝丗侾売強<br>仢庤偡傝晅曋婍丂桳傝丗俀売強,,,仢夘岇偑昁梫側応崌丄怑堳偑懳墳偟傑偡丅,暥壔巤愝
31453,1135.1693546341634.2074026853243,135.16935463416,34.2074026853243,135.16935463416,34.2074026853243,榓壧嶳導,榓壧嶳巗,惣崅徏堦挌栚7-38,073-436-9500,073-436-9501,10:00乣19:00乮搚丄擔乣17:00乯,抧忋俀奒,寧丄廽擔丄寧巒傔偺侾擔,仢堦斒挀幵応丂桳傝丗俆俆戜<br>仢忈奞幰梡挀幵応丂桳傝丗侾戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝<br>仢懠偺桿摫愝旛丗僠儍僀儉,仢堦斒埬撪丂桳傝<br>仢庤榖偵傛傞埬撪丂桳傝,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗係売強乮儂乕儖偵柺偟偨強乯<br>仢梞幃戝曋強丂桳傝丗係売強,仢幵堉巕梡揹榖丂桳傝丗侾売強,仢幵堉巕偺忢旛丂桳傝丗俀戜,仢夘岇偑昁梫側応崌丄怑堳偑懳墳偡傞丅,暥壔巤愝
31454,1135.15841149598534.1950705310386,135.158411495985,34.1950705310386,135.158411495985,34.1950705310386,榓壧嶳導,榓壧嶳巗,惣昹侾侽俁俈,073-444-8274,073-444-8275,9:00乣21:00,抧忋俀奒,栘梛擔,仢堦斒挀幵応丂桳傝丗俆侽戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,,,,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗俀売強乮堦斒曋強撪乯<br>仢梞幃戝曋強丂桳傝丗俀売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,,,,暥壔巤愝
31455,1135.16218822266234.2176791608164,135.162188222662,34.2176791608164,135.162188222662,34.2176791608164,榓壧嶳導,榓壧嶳巗,嵒嶳撿俁挌栚侾斣俈俁崋,073-424-3276,073-424-0310,8:15乣17:00,抧忋俁奒,戞俀丄戞係搚丄擔梛擔,仢堦斒挀幵応丂桳傝丗侾俁戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜,仢懠偺桿摫愝旛丗僷僩儔僀僩,,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒揰帤昞帵丒壒惡埬撪乯,"仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗俇売強乮彫妛晹杮娰1,2,3F丄拞彜晹搹1F丄廳暋搹1F丄婑廻強1F)<br>仢梞幃戝曋強丂桳傝丗俉売強<br>仢庤偡傝晅曋強丂桳傝丗侾俀売強",,,,暥壔巤愝
31456,1135.17276067507434.1818856467452,135.172760675074,34.1818856467452,135.172760675074,34.1818856467452,榓壧嶳導,榓壧嶳巗,榓壧塝撿3挌栚1700-2,073-446-5553,073-446-5554,9:00乣21:00,抧忋侾奒丄抧壓侾奒,寧梛擔乮廽擔偺応崌壩梛擔乯,仢堦斒挀幵応丂桳傝丗俀侾係戜<br>仢忈奞幰梡挀幵応丂桳傝丗俆戜,仢巤愝擖岥傊偺幵堉巕棙梡丗壜<br>仢帺摦僪傾丂桳傝,仢桿摫僽儘僢僋丂桳傝,,仢堦斒梡僄儗儀乕僞乕丂桳傝<br>仢忈奞幰梡僄儗儀乕僞乕丂桳傝乮掅埵抲憖嶌斦丒揰帤昞帵丒壒惡埬撪乯,仢忈奞幰乮幵堉巕乯梡曋強丂桳傝丗俀売強乮儂乕儖丄揥帵幒)<br>仢梞幃戝曋強丂桳傝丗俀売強<br>仢庤偡傝晅曋強丂桳傝丗俀売強,仢幵堉巕梡揹榖丂桳傝丗侾売強,仢幵堉巕偺忢旛丂桳傝丗俀戜<br>仢庼擕幒丂桳傝丗俁幒乮曋強撪乯,,暥壔巤愝
